sentence,lang,predicted
Sami didn't want me to leave.,eng,eng
Apuntad en una hoja vuestros objetivos.,spa,eng
El cuento habla de la aparición de un ahogado en las orillas cerca de un pequeño pueblo de mar en el Caribe.,spa,spa
Necesito ir a Chicago.,spa,eng
I mop my house almost every day.,eng,spa
That's not a bear anymore. That's bear goo.,eng,eng
Estamos condenados.,spa,spa
"How long will it take? ""About two weeks.""",eng,spa
Tom and Mary both look like they want to say something.,eng,spa
Mi hermana mayor va a trotar todos los días.,spa,spa
"Ante la ausencia de poder, la derecha puede ser más liberal que la izquierda.",spa,spa
Peleo casi todos los días.,spa,spa
She told me that she could handle it.,eng,eng
He intends to devote his life to curing the sick in India.,eng,spa
Mary doesn't really care how she does that.,eng,spa
¿Qué opinan de mí?,spa,spa
El semáforo se puso rojo.,spa,eng
The truck nearly ran me over.,eng,spa
Me he enterado del matrimonio de Tom con una mujer rica.,spa,eng
¡Tatoeba ha llegado a ochocientas mil oraciones!,spa,eng
Tom leaned back in his swivel chair.,eng,spa
Tom no pensaba que necesitara un guardaespaldas.,spa,spa
Al crecer muchas cosas dejan de fascinarnos.,spa,spa
What do you want them to do?,eng,eng
Algunos genetistas afirman que las experiencias de nuestros antepasados se heredan a través del ADN.,spa,spa
I suspect that Tom won't want to dance.,eng,eng
En un frenesí de desesperación ...,spa,spa
Es más productivo conceder un punto de pedantería que pasar todo el día discutiendo sobre ello.,spa,eng
Tom usually stands behind the counter.,eng,spa
Los pasajeros están contentos.,spa,spa
"Cambiar es difícil, pero no imposible.",spa,spa
Tom and Mary said John wanted them to do that for them.,eng,eng
I know Tom knew why Mary didn't do that.,eng,spa
¡Quiero un MP3!,spa,eng
What have you done about fixing the car?,eng,spa
Everyone except Tom knew that he didn't need to stay in Boston.,eng,spa
La niña habla inglés bastante bien.,spa,spa
I'd stay in Boston if I were you.,eng,spa
Los tirantes hacen mi personalidad.,spa,spa
El gobierno nos hace pagar impuestos.,spa,spa
¿Qué harías si el mundo se acabara mañana?,spa,spa
El barco se hundió y todos murieron.,spa,spa
Veo el miedo en tus ojos.,spa,spa
I'm about tired of this quiet life.,eng,eng
Boston Dynamics construyó un robot que incluso puede correr.,spa,spa
I looked under the table.,eng,spa
You'll be busy tomorrow.,eng,spa
¿Cuándo y dónde compraste ese reloj antiguo?,spa,eng
No tengo bicicleta.,spa,spa
El número de muffins que recibirás será inversamente proporcional al número de veces que hables por IRC.,spa,spa
Ella me robó.,spa,spa
I'm very interested in folk music.,eng,eng
Tom probably didn't really mean what he said.,eng,spa
Where will you have lunch today?,eng,spa
Tom didn't show up for the appointment.,eng,spa
Hold it for a second.,eng,spa
Ella es tranquila.,spa,spa
They devised ingenious solutions.,eng,spa
No es tan fiero el león como lo pintan.,spa,spa
"No toque la mercancía, por favor.",spa,spa
Tiene un huevo y se lo está comiendo.,spa,spa
She is unbeaten at that video game.,eng,eng
¿Puedo tomar prestado tu paraguas?,spa,spa
I should help you do that.,eng,spa
The car is in front of the garage.,eng,spa
Él no tiene miedo a morir.,spa,spa
"Nos fuimos encariñando poco a poco, tirándonos flores por aquí y por allá.",spa,spa
¿Cuántas veces vas a la playa a nadar en el verano?,spa,eng
On the whole I am satisfied with the experiment.,eng,spa
Nos levantamos pasada la medianoche.,spa,eng
Nunca me imaginé volviéndome a casa tan temprano.,spa,spa
"Mary doesn't really know, does she?",eng,eng
We should decide today.,eng,spa
Tom tuvo un mal sueño.,spa,eng
"¡Desde hoy solo comida saludable, no más comida chatarra para mí!",spa,spa
Él quiere ser cantante.,spa,spa
Los búhos cazan de noche.,spa,eng
Esta sopa está muy salada.,spa,spa
Me gustaría conocerla mejor antes de juzgarla.,spa,spa
Tom took his coat off and hung it up in the closet.,eng,eng
Lo voy a verificar.,spa,spa
This place is hideous.,eng,spa
Tom isn't strong enough to lift that.,eng,spa
I didn't tell Tom I grew up in Australia.,eng,spa
Anote esto.,spa,eng
Tom is having the same problems I am.,eng,eng
This sentence is a lie.,eng,eng
I forgot myself.,eng,eng
I thought that there was a good chance that Tom wouldn't want to go with us.,eng,spa
¿Dónde estabas en 2013?,spa,eng
Sami hired a good defense team.,eng,eng
Will you take on the job?,eng,eng
She's doing her homework now.,eng,spa
Marie se encerró.,spa,spa
"If it weren't for modern medicine, I'd be dead right now.",eng,spa
Tom asked Mary to help him reformat the hard disk.,eng,spa
This is a bad thing.,eng,spa
El mundo cambia mucho.,spa,eng
Tengo que pensarlo.,spa,eng
I don't think Tom will be able to do that very well.,eng,spa
Tom quería que Mary supiera que él no la odiaba.,spa,spa
Is she making a doll?,eng,eng
Who sent her?,eng,spa
Ella le compró a él unos dulces.,spa,spa
Ella se lava las manos en el lavamanos.,spa,spa
Viviane no llegó viva a Aviñón.,spa,spa
¿Habéis ordenado vuestra habitación?,spa,spa
Las tensiones aumentaban.,spa,spa
"Tom llamó a Mary para disculparse, pero le colgó.",spa,spa
Lamento que no pudiera ir con ella.,spa,spa
The hotel is within easy access of the station.,eng,spa
El estanque estaba lleno de pececitos.,spa,eng
Mi sueño es ser profesor.,spa,spa
No juegues en esta habitación.,spa,spa
We're not like them.,eng,eng
I'm not your commanding officer.,eng,spa
Estoy un poco cansada.,spa,spa
Él no fue a la escuela porque estaba enfermo.,spa,eng
¿Sabes cuál de esos tipos es Tom?,spa,eng
Él es novelista y poeta.,spa,spa
El avión tenía 500 pasajeros a bordo.,spa,spa
She takes a bad picture.,eng,spa
Estuve afuera todo el día.,spa,spa
¿Para qué sirven los marcapasos?,spa,eng
Esto no tiene ninguna relación conmigo.,spa,eng
Are Tom and Mary optimistic?,eng,eng
Tom may not think this is funny.,eng,spa
"La población de China ha superado ya los 1,3 billones.",spa,spa
Speak up if you notice other viewers behaving in a way that disturbs wildlife.,eng,eng
Does school start at eight-thirty?,eng,spa
My brother has been much too rowdy lately.,eng,spa
No sería raro que sacase buena nota en el examen.,spa,spa
Tom was embarrassed when told he had made a drunken pass at Mary's mother at the party.,eng,spa
No voy a esperar para siempre.,spa,spa
No enseñes a los peces a nadar.,spa,spa
¿Debería ser celoso?,spa,eng
Can you spare some change?,eng,spa
El hombre al que yo no conocía sabía muchas cosas sobre mí.,spa,spa
Acabo de estar en el aeropuerto para despedirme de él.,spa,spa
What time did he say he'd come?,eng,eng
The old man drew a large crowd around him by his music.,eng,eng
Se publicaron las cifras de paro.,spa,eng
Sami never communicated with Layla.,eng,spa
Ella cumple diecisiete años en febrero.,spa,spa
She gave him a sensuous smile.,eng,eng
Él debe ser severamente castigado.,spa,spa
"Hoy es nuestro aniversario, así que hagamos de esta una cena especial.",spa,eng
¿Eso es cierto?,spa,eng
"Nunca hubiera pensado que algún día buscaría ""viagra"" en Wikipedia.",spa,spa
I thought I was being helpful.,eng,spa
The boy is asking a question.,eng,spa
I should get packed.,eng,spa
Él se unió al club de inglés.,spa,spa
You must not go there with them.,eng,eng
Layla was Sami's first crush.,eng,spa
Tom ha estado ocupado toda la mañana.,spa,spa
I know Tom isn't used to speaking in public.,eng,eng
¿Quién de ustedes puede prestarle mañana algo de dinero a su amiga?,spa,eng
Why are you so mean?,eng,spa
What tennis players do you like?,eng,eng
Ahora puedes verlo.,spa,eng
I won't be a moment.,eng,spa
Nadie podía decir dónde estaba.,spa,spa
Estoy feliz de que todo ello terminara.,spa,spa
Tom ha tirado la ropa de su mujer al fuego.,spa,eng
Tom and Mary said they don't think John really needed to do that this morning.,eng,spa
Ya me he cansado de Tom y Mary.,spa,spa
Quería hablar con vos sobre Tom.,spa,eng
It wasn't Tom.,eng,eng
I spent a couple of hours sitting on a bench in the park feeding birds.,eng,spa
The truth is that the statement is his personal view.,eng,spa
Do you live by yourself?,eng,eng
Cada hombre es culpable del bien que no hizo.,spa,eng
Nadie me entendía.,spa,spa
He lives in a poor district of London.,eng,spa
I'll go alone.,eng,spa
Tom se dejó el sombrero puesto para ocultar su calvicie.,spa,eng
Nada es más bello que ser joven y amar; y nada trae más dolor.,spa,spa
She said she wanted to go sailing.,eng,spa
¿Les gusta estar solas?,spa,spa
Tom climbed up three flights of stairs.,eng,spa
It's a form of rebellion.,eng,spa
He always takes his time in everything that he does.,eng,spa
¡El espectáculo debe continuar!,spa,spa
¡Sois unos cobardes!,spa,eng
Es difícil robar a un ladrón.,spa,spa
Tengo que dejarlo.,spa,eng
Acabo de volver a casa.,spa,spa
El enemigo embistió con furia.,spa,spa
No me puedo creer que tus padres te dejen venir aquí sola.,spa,spa
Mary said she didn't want to say anything about that.,eng,spa
Tom puede nadar tan rápido como Mary.,spa,spa
I don't have anybody else to turn to.,eng,eng
Sami was talking about Layla in the video.,eng,eng
Sami was still at the clinic.,eng,eng
La ciudad está llena de turistas.,spa,spa
Almost everyone I know has been to Boston at least once.,eng,eng
I don't think Tom is back.,eng,spa
Policemen cleared the way to let cars pass.,eng,spa
Tom and Mary are still going out with each other.,eng,spa
Tom se marchó ileso.,spa,eng
Tom said that he's glad that you were able to do that when you were in Boston.,eng,spa
Bebo una taza de té de arándano en la tetería.,spa,spa
This girl is much stronger than him.,eng,eng
Un práctico se dedica a aparcar buques en el puerto.,spa,eng
I don't think Tom has to get up so early tomorrow.,eng,spa
La comida era tan buena que comí demasiada.,spa,spa
Ella rompió la carta en pedazos.,spa,spa
Lloro cada vez que escucho esta canción.,spa,spa
Tom made it clear that he didn't want to go to Australia with us.,eng,spa
¿Puedo tocar tus tetas?,spa,spa
Los dolores abdominales son un problema común.,spa,spa
Tom said he wanted to see us before we left.,eng,eng
I should've helped Tom with his homework.,eng,spa
Él puso su casa en venta.,spa,spa
Let's get inside.,eng,spa
I can speak Irish with reasonable fluency.,eng,spa
Sami didn't enjoy it.,eng,eng
She calls me Kenji.,eng,eng
I don't think that Tom knows how to dance.,eng,eng
I think I could do that if I tried.,eng,spa
Tom and Mary don't have any confidence in themselves.,eng,eng
Mary has enough money to buy everything she needs.,eng,spa
How do you read this kanji?,eng,eng
Sami knows you are concerned.,eng,spa
Las fiestas juninas ya comenzaron.,spa,spa
Poned el libro donde lo encontrasteis.,spa,spa
Sólo estamos de acuerdo bajo esta condición.,spa,spa
Tom and Mary didn't know that I was supposed to help them do that.,eng,spa
I often ignore Tom's advice.,eng,eng
No lo desprecies solo porque es pobre.,spa,spa
"Caballeros, arranquen los motores.",spa,spa
She's an expert in her field.,eng,spa
A wind from the ocean blows at this time of the year.,eng,spa
Viajar en tren me da sueño.,spa,eng
Mary went to the beauty salon to get a manicure.,eng,spa
Do you ever happen to snack between meals?,eng,spa
I saw how much Mary was enjoying herself.,eng,spa
Estaba infinitamente encantado por la cálida acogida.,spa,spa
Alguien me robó el secador de cabello.,spa,eng
My silence is not to be read as consent.,eng,spa
Tom es capitán del equipo de fútbol y está en el equipo de béisbol también.,spa,spa
¿Cómo se llega a la estación más cercana?,spa,spa
Siempre me había preguntado qué era ese ruido.,spa,spa
We didn't add pictures to our album.,eng,spa
I'll never be able to do that.,eng,spa
"Él leyó la carta, con lágrimas deslizándose por sus mejillas.",spa,spa
Podría estar liado el lunes.,spa,spa
La comida pasa de la garganta al estómago.,spa,eng
Tom read the contract in secret.,eng,spa
Tom is hurt.,eng,spa
"Eso quiere decir que puedes reutilizarlas libremente para un libro de texto, para una aplicación, para un proyecto de investigación, ¡para cualquier cosa!",spa,eng
Son homosexuales.,spa,spa
Tom was involved in a street brawl.,eng,spa
I don't think that being poor is anything to be ashamed of.,eng,eng
I ought to go.,eng,eng
Todo lo que es inventado es verdadero.,spa,spa
Se sentaban.,spa,spa
Me gusta jugar futbol.,spa,eng
"El aeropuerto está cerrado, pero nadie sabe el porqué.",spa,spa
Tom said that Mary was doing that now.,eng,spa
It's a shame Tom couldn't make it to your party.,eng,spa
My wife is too sincere. I don't know if it's good or bad.,eng,spa
The association has thirty members.,eng,spa
Have you forgotten?,eng,spa
Nuestro avión despegó exactamente a las 6 p.m.,spa,eng
Don't you hear that?,eng,eng
Seguirán haciendo el vago.,spa,eng
Tom took his car to the mechanic's to get it fixed.,eng,spa
Dijo que daba un paseo todos los días.,spa,spa
I know something they don't know.,eng,spa
I thought that you said you were interested in doing that.,eng,spa
No cometeré este error otra vez.,spa,eng
Supongo que tuve suerte.,spa,spa
Su bolsa está en mi escritorio.,spa,eng
I can imagine how the stars feel on tour.,eng,spa
"The only road connecting his home to the local market is very narrow, a one-way track, built by piling dirt between two plots of farmland.",eng,spa
¿Será que la acupuntura es tan eficaz como la medicina tradicional?,spa,eng
Weren't you the one who wrote this?,eng,eng
I solved that problem by myself.,eng,eng
¿Por qué no me escuchas?,spa,eng
¿Puede abrir esta puerta?,spa,spa
Tom is really a good singer.,eng,spa
2001 es el año en que comenzó el siglo XXI.,spa,spa
We have some pressing problems to solve.,eng,eng
Tom quiere que le hagas una gauchada.,spa,spa
Me resultó difícil ponerlo en práctica.,spa,eng
I had to swallow his insult.,eng,spa
Su marido es amigo mío.,spa,spa
A storm is going to batter Brittany in the coming hours.,eng,spa
El puñal le traspasó el corazón.,spa,spa
Mary said she thought Tom might not be allowed to do that again.,eng,spa
Estamos viendo la tele.,spa,spa
Tom dijo que no quiere siquiera pensar en eso.,spa,eng
Ésta es mi vieja bicicleta.,spa,spa
"Los alemanes tienen una forma inhumana de cortar sus verbos. Un verbo ya lo pasa bastante mal cuando está entero. Es completamente inhumano partirlo. Pero eso es exactamente lo que hacen los alemanes. Cogen una parte del verbo y la ponen aquí, como una estaca, y cogen la otra parte y la ponen allá a lo lejos, como otra estaca, y simplemente cavan en alemán entre estos dos límites.",spa,spa
Go and find him.,eng,eng
Muchas personas emigraron a América.,spa,eng
Tenía tanto dolor de cabeza que se vio obligado a abandonar la reunión.,spa,spa
Tom said that he's never eaten Thai food.,eng,spa
¿Dijo Tom cuándo vendría de visita?,spa,eng
Creo que el amor existe.,spa,spa
How well does Tom speak French?,eng,eng
Sé que usted es maestro.,spa,spa
"Mary is enjoying this, isn't she?",eng,eng
Tom and Mary said they knew they might not need to do that anymore.,eng,spa
Tom is playing the violin now.,eng,spa
Nuestros invitados están en la puerta.,spa,spa
Tom casi de desmayó del calor.,spa,spa
Esta traducción no vale ni un duro.,spa,spa
Dudar de sí mismo es la primera señal de inteligencia.,spa,eng
A Tom le gusta leer libros en francés.,spa,spa
They sacrificed a sheep.,eng,eng
La duración de un partido de fútbol es de 90 minutos.,spa,spa
She told me she wasn't bored.,eng,spa
Where did you read that?,eng,eng
I can try to reason with Tom.,eng,eng
Luchamos.,spa,spa
Tomás tiene el pelo largo.,spa,spa
One should treat his teachers with respect.,eng,eng
¡No manches! No subiste a la muralla china y ¿tienes la osadía de decir que viniste a Pekín? ¡Sácate!,spa,eng
Tom and Mary said they didn't like their nicknames.,eng,spa
I was recently in an automobile accident.,eng,spa
"¿Qué es más útil, la plata o el hierro? - El hierro es más útil que la plata.",spa,spa
It's too dark.,eng,spa
Ken's really a chip off the old block.,eng,eng
Fadil earns a six-figure salary.,eng,spa
Tom realized Mary didn't love him as much as he loved her.,eng,spa
Estaban absolutamente sorprendidos.,spa,spa
Tom tiene que hacer algunas compras.,spa,spa
I knew Tom was the one who was supposed to tell Mary to do that.,eng,spa
Esta no es mi casa.,spa,spa
This town is boring.,eng,spa
How many people are in your crew?,eng,spa
¿No conoces al señor Brown?,spa,spa
No quiero pelearme con Theodore Roosevelt.,spa,eng
"If you aren't careful, you'll fail again.",eng,spa
"«Venga, vámonos.» «¿Adónde me llevas?»",spa,spa
Tom me dijo que ya no quería a Mary.,spa,spa
Tom never felt sorry for himself.,eng,eng
Tom and Mary eat hotdogs whenever they can.,eng,spa
We'll know soon enough.,eng,spa
Lejos de enmendarse está cada día peor.,spa,spa
El vidrio es frágil y transparente.,spa,spa
He took his place at the table.,eng,spa
"En realidad, nunca he estado en Australia.",spa,spa
I would've never guessed that Tom and Mary were from Boston.,eng,spa
"Soy sordo, y no puedo escucharte.",spa,spa
Esa era nuestra idea.,spa,spa
He came while I was still asleep.,eng,eng
Have Tom and Mary ever done that?,eng,eng
"On December 3rd, 1967, Doctor Barnard was able to perform the first human heart transplant.",eng,spa
"Tom estaba poniendo pegas sobre las frases que le concernían, mientras que Mary hacía todo lo posible para traducirlas.",spa,spa
Estaba esperando un taxi.,spa,spa
Me pone triste escucharlo.,spa,eng
EEUU es rico en petróleo.,spa,eng
La suma 3 + 2 se lee «tres más dos».,spa,spa
Tom and Mary looked like they were disappointed.,eng,spa
That is your major problem.,eng,eng
You must take the apple.,eng,eng
I slept on the couch.,eng,eng
Tom said Mary knew John might not be allowed to do that.,eng,spa
Él no tiene escrúpulos.,spa,spa
Tom quería que viniera a desayunar así que lo hice.,spa,eng
Esta ciudad es tan pequeña que ni escuela tiene.,spa,spa
"Al principio él encontraba difícil el inglés, pero ahora lo encuentra fácil.",spa,eng
Lo habré concluido antes de que termine la semana.,spa,spa
¿Ves algún barco en el horizonte?,spa,eng
Me quedaré en Berlín diez días.,spa,spa
Quiero vivir en América.,spa,eng
Tom is a decent guy.,eng,spa
Las abejas vuelan de flor en flor.,spa,spa
Tiene los labios azules.,spa,spa
Sami's dog is so ugly.,eng,spa
I just wanted to do it.,eng,eng
"Mirá, me tengo que ir.",spa,spa
"Hey, I'm only trying to help.",eng,eng
Why don't you buy a violin for Tom?,eng,eng
Es la primera vez que repito un año.,spa,spa
"Mi profesor se repite mucho, nos cuenta las mismas batallitas día sí, día también.",spa,spa
Tom hace ejercicio.,spa,eng
Tom said he wanted to do that again.,eng,spa
Tom became very sleepy.,eng,spa
El nombre del hombre que vi ayer es Hill.,spa,eng
Tom is too young to do that.,eng,spa
A él lo confunden con un estudiante a menudo.,spa,spa
"En su juventud, el administró un hotel.",spa,eng
Mi hermano debe de haber escrito esta carta.,spa,spa
Debemos prestarle atención al hecho de que ninguna nación a proclamado soberanía sobre esta región.,spa,spa
Mary will follow Tom.,eng,eng
¿Puedes creer esto?,spa,eng
Something is making the door stick.,eng,eng
Tom looked sharp.,eng,eng
Ella se ofreció para ayudarlo.,spa,eng
I'm married to a nurse.,eng,spa
Tom is busy again.,eng,spa
You're three years older than I am.,eng,eng
Quiero unirme a ti.,spa,eng
I'll have to finish this work by next Monday.,eng,spa
Me pregunto dónde está Tomás.,spa,spa
La gente en las regiones del este de Alemania han experimentado muchos cambios en su vida.,spa,spa
She was too tired to speak.,eng,spa
Me temo que tengo una opinión diferente sobre este asunto.,spa,spa
He could be happy if he wanted.,eng,spa
Anoche entré en pánico.,spa,eng
Estás enfermo. Debes descansar.,spa,spa
Why should I worry about you?,eng,spa
Please find out when Tom plans to stay here with us.,eng,spa
I think that you shouldn't gone there.,eng,spa
¿Has venido a este pub antes?,spa,spa
¿Dónde está el colectivo?,spa,eng
That's commonplace.,eng,eng
The trees are planted at intervals of thirty meters.,eng,spa
Deberíais tener más cuidado.,spa,spa
I doubt Tom will go to Australia.,eng,spa
No necesito a nadie más que a ti.,spa,eng
Tom neglected his duties.,eng,spa
No quiero cuidar a un perro.,spa,spa
A Tom se le dan realmente bien las matemáticas.,spa,spa
Tom y Mary son solo amigos.,spa,spa
No habría razón para venir.,spa,spa
Have you told Tom?,eng,eng
Tom is trying to keep Mary calm.,eng,eng
Hay muchas dudas.,spa,spa
I tossed one to Tom.,eng,eng
Te ves como un elefante.,spa,spa
Adoro enseñar español a los pequeños.,spa,spa
Are we sure about this?,eng,eng
¿Qué era lo que querías que le dijese a Tom?,spa,eng
Tom has been blamed for the mess.,eng,spa
Tom never received the money Mary sent him.,eng,eng
I'm legally deaf and blind.,eng,spa
No quiero dañar sus sentimientos.,spa,spa
Necesito un montón de libros.,spa,spa
Tom took some pictures of his new car and sent them to Mary.,eng,spa
"¡Fuera de aquí, canalla!",spa,eng
I think you had better call on him.,eng,eng
Veniste temprano.,spa,spa
I might be back by 2:30.,eng,eng
Los cerdos hormigueros son excelentes excavadores.,spa,spa
What did you get from her?,eng,spa
Tom gave me a meaningful look.,eng,spa
Tom said that he didn't think that Mary ought to do that.,eng,spa
Tom conocía a un hombre cuyo padre fue un piloto de helicópteros durante la guerra de Vietnam.,spa,spa
Mi hermano mayor terminó su tarea muy rápidamente.,spa,spa
"Waiter, I'd like to order.",eng,spa
I can't imagine how anyone could seriously believe that.,eng,spa
El objetivo de la historia no es crear verdades.,spa,spa
He was a great president.,eng,spa
Tom and Mary are going to take the bus that leaves at 2:30.,eng,eng
"Lucy es linda, pero tiene un carácter terrible.",spa,spa
Tom was organized.,eng,spa
Taiwan was hit by a powerful earthquake.,eng,spa
Tom no le mentiría a Mary.,spa,spa
¿Cuántos días hábiles hay este mes?,spa,eng
You should go to the gym at least twice a week.,eng,spa
I knew that Tom would be a difficult person to deal with.,eng,spa
I've explained the problem to Tom.,eng,eng
La carne se pudre rápidamente con el clima cálido.,spa,spa
It's going to get dark soon.,eng,spa
I'm dying to have a cup of coffee.,eng,eng
"Are you hungry, too?",eng,eng
"With a little more wisdom, he would not have got in trouble.",eng,spa
Sólo tenemos que leerla.,spa,spa
Tom said he's heartbroken.,eng,spa
Los arboles del cacao crecen bien en bosques tropicales.,spa,spa
All the paintings in the room hung crooked.,eng,spa
Tom se está dejando la barba de nuevo.,spa,eng
We're in college.,eng,spa
Tom put Mary's present in a bag with pictures of cute penguins on it.,eng,eng
Él no estaba en la reunión.,spa,spa
¿Cómo pudo ocurrir todo esto?,spa,eng
Tom and Mary didn't feel they should do what the other children were doing.,eng,spa
Mary sold everything she owned.,eng,spa
¿Cómo me has encontrado?,spa,eng
¿Qué estas intentando de hacer?,spa,spa
I'd like to do that this evening.,eng,spa
Tom climbed into the truck and drove off.,eng,eng
Demócrito y Leucipo fueron filósofos griegos que sostenían que la materia estaba formada por partículas diminutas llamadas átomos.,spa,spa
Ella todavía depende de sus padres.,spa,spa
I need to get something.,eng,spa
Dame tiempo para meditarlo.,spa,eng
La niña tiene miedo a la oscuridad.,spa,spa
I don't think they'll permit Tom to do that.,eng,spa
Es inútil que digas nada.,spa,spa
I wasn't able to do that today.,eng,spa
"Boeing's safety experts have joined others in the industry to form an international task force to try to eliminate one particular kind of air crash known as controlled flight into terrain, CFIT.",eng,spa
I'd rather not do that with Tom.,eng,eng
Las chances están en nuestra contra.,spa,spa
I really don't think I can do that.,eng,spa
Nenwë is a Noldo.,eng,spa
Porque no tienes que hacerlo.,spa,eng
He says he can't wait any longer.,eng,spa
Esta frase está bien.,spa,spa
Sami confessed to the cops.,eng,eng
The following people were put to the test.,eng,spa
Don't make fun of old people.,eng,eng
I really did have a great time.,eng,eng
No sos más burro por falta de calcio.,spa,eng
"No, I'm not going to take it back.",eng,spa
No se ha preparado suficientemente.,spa,spa
Children often use construction paper to make crafts.,eng,spa
Los estudiantes hicieron el trabajo por sí mismos.,spa,spa
I am not a member of the club.,eng,spa
Prefiero llegar antes que el resto.,spa,eng
Hay contradicciones.,spa,spa
¿Realmente serán amigos Tom y Mary?,spa,spa
My pulse is slow.,eng,spa
"So far, I have found that being a pirate sucks.",eng,spa
Then I can still have five more minutes of sleep.,eng,eng
I'm gonna call the police!,eng,eng
Mary sold her company.,eng,spa
I have been reading this book.,eng,spa
Tom had other work to do.,eng,spa
Explíquese.,spa,spa
Tengo que decir que no.,spa,eng
This is unprecedented.,eng,spa
What he said is still dark.,eng,spa
And it was only with great difficulty.,eng,spa
Creo que es error mío.,spa,spa
I urged him to get away and cool down.,eng,spa
Tom will probably be doing that early tomorrow morning.,eng,spa
"You didn't know Mary wanted to do that by herself, did you?",eng,spa
Did he show you the picture?,eng,spa
We will be very happy if we have another daughter.,eng,spa
What you need is clarity.,eng,spa
¿Por qué él ya no me sonríe más?,spa,spa
Deberíamos ser cuidadosos con lo que decimos.,spa,eng
Sami's dog is distracting us.,eng,spa
Is anybody ready for dessert?,eng,spa
A ella le pareció guapo.,spa,eng
No te vayas a los extremos.,spa,spa
I love lazy Sundays.,eng,spa
Tom and Mary admitted that they didn't know what to do.,eng,spa
Where did Tom hide my passport?,eng,eng
Tom burned a hole in his coat.,eng,eng
Él ajustó el telescopio a su vista.,spa,spa
Hay un aroma delicioso en el aire. ¿Olés?,spa,spa
Ellos intentaron ocultar su xenofobia.,spa,eng
¿Te conozco de algo?,spa,eng
It's clear Tom likes being here in Boston.,eng,spa
Lo barato sale caro.,spa,eng
Yo todavía no me he acostumbrado a que me llamen la señora Jackson.,spa,spa
"En cuanto llegue, avisadme.",spa,spa
Tom no suele llegar tarde a la escuela.,spa,spa
Qué mala está la carne.,spa,spa
Maybe you can help.,eng,eng
I don't think that's very likely to happen.,eng,spa
I should've listened to Tom more carefully.,eng,spa
Forget everything I told you!,eng,eng
"Pero este pueblo, de quien fui esclavo, no será más esclavo de nadie.",spa,spa
Her father nearly caught her having sex with her boyfriend.,eng,spa
Business is slow.,eng,spa
He said so in jest.,eng,spa
Sami lived hundreds of miles away.,eng,spa
¿Qué dijiste que le habías regalado para su cumpleaños?,spa,eng
He was always drinking in those days.,eng,spa
Tom had a cat.,eng,eng
¡Hacedlo de nuevo!,spa,eng
He's kind of cute.,eng,spa
"La fe no es el comienzo, sino el fin de todo conocimiento.",spa,eng
Este es un insulto premeditado.,spa,spa
"Pedimos rosado, pero nos trajeron azul.",spa,spa
I can always improve.,eng,eng
Tom's going with me tomorrow.,eng,spa
Tomás es el chofer de María.,spa,spa
"En cuanto al ajedrez, yo sólo conozco las reglas.",spa,spa
"Si mañana hace buen tiempo, vayamos de paseo.",spa,eng
There are a lot of things we have to get to this afternoon.,eng,spa
No repitas eso.,spa,eng
Was the result surprising?,eng,spa
Tom never told me he wanted to go to Harvard.,eng,spa
He did all of his homework.,eng,spa
The sky cleared up.,eng,eng
Why exactly do you have to do that?,eng,eng
Creo que estoy enamorada de él.,spa,spa
I did that while Tom was still asleep.,eng,eng
Tom and Mary locked eyes for a brief moment.,eng,spa
You're prisoners.,eng,spa
I told you to stay away from me.,eng,eng
Deja mi coche en paz.,spa,spa
Leí este libro hace un par de años.,spa,spa
Is it a horse?,eng,eng
Ese es mi hijo.,spa,eng
Do you have many scars?,eng,spa
Tengo que cagar.,spa,spa
Tampoco se nos aclaró.,spa,spa
I think you are incorrect.,eng,eng
We have no idea what's going on.,eng,spa
The new tax marginalizes poor people.,eng,eng
Mom is washing the dog because he's dirty.,eng,spa
¡No seas tan corajudo! Hay que aprender a aguantarse las bromas que nos hacen.,spa,spa
Él devolvió un mensaje de que todos estaban bien.,spa,spa
La criada limpiará la habitación de invitados.,spa,spa
Disneylandia fue fundada en 1955.,spa,spa
"You're too old to be doing this kind of thing, aren't you?",eng,spa
Quiero que me trates algo mejor de ahora en adelante.,spa,spa
Él cambió de empleo.,spa,eng
The first order of business is to evaluate how to prevent people from driving while intoxicated.,eng,spa
Sé breve.,spa,eng
Le temo a lo mismo.,spa,eng
Esta carta la escribió Naoko ayer por la noche.,spa,eng
No hay que darle más vueltas.,spa,spa
Let's leave as soon as Tom arrives.,eng,eng
Estoy pintando.,spa,spa
Estoy dejando de fumar.,spa,spa
Tom le mandó unas flores a Mary.,spa,spa
Con vuestra ayuda atraparemos a Tom.,spa,eng
Había olvidado que Tom habla francés.,spa,spa
It's only a play.,eng,spa
Es difícil conseguir la felicidad.,spa,spa
I already know what the theme of the radio programme will be.,eng,spa
Ahora mismo Tom no está en Boston.,spa,spa
Puedes omitir los detalles.,spa,spa
Tomás todavía hace vida de soltero.,spa,spa
Sami wanted to visit Florida's Atlantic coast.,eng,spa
¿Acaso no sabes nadar todavía?,spa,spa
Ella no es tan joven como parece.,spa,eng
"Mr Briggs is not any doctor, he is an excellent surgeon.",eng,spa
No sé si voy a ganar o perder.,spa,spa
"Para coleccionar tantas monedas, ¿cuánto tiempo ha tardado?",spa,eng
It goes without saying that he is a superb pianist.,eng,spa
"En lugar de quejaros, quizá deberíais ayudar.",spa,spa
